기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20251,U,관광특구,3001491,이태원 관광특구,CS300015,가방,1569075360,7398,1271375387,297699973,140164804,390941489,274737910,175673280,289857904,133795294,163904679,0,5309005,588276586,551915838,422865364,708567,136237576,1425289321,0,19253187,174456920,492062556,645208896,230545339,5482,1916,1315,1086,1229,765,1087,963,953,0,324,1978,3325,1736,35,2010,5330,0,539,752,990,1393,3666
20251,U,관광특구,3001491,이태원 관광특구,CS200030,피부관리실,27388312,328,23404838,3983474,6387307,2334501,3041409,5230584,6411037,3983474,0,0,825887,9909488,9035619,3961422,3655896,9976660,17411652,0,2480951,4161346,13852640,5682084,1211291,240,88,47,27,38,57,71,88,0,0,8,107,131,60,22,149,179,0,74,55,106,71,22
20251,U,관광특구,3001491,이태원 관광특구,CS200037,노래방,94383079,3307,40525543,53857536,7985260,3572231,10886245,8953804,9128003,28090091,25767445,53332618,7908612,0,0,6712450,26429399,64896074,25942647,1038588,29179179,41526642,10876598,5085114,3132599,1422,1885,270,144,339,326,343,999,886,1888,287,0,0,269,863,2169,1064,56,1195,1450,368,84,80
20251,U,관광특구,3001491,이태원 관광특구,CS300016,안경,627053943,2570,349173694,277880249,56055680,45271082,60802099,83207397,103837436,133052163,144828086,0,1359185,140466390,250819557,234408811,0,436452778,173162512,0,112560293,290235676,104027804,68944073,33847446,1411,1159,193,284,266,376,292,702,457,0,30,525,1037,978,0,1263,1283,0,722,1133,357,224,110
20251,U,관광특구,3001491,이태원 관광특구,CS300043,전자상거래업,34806521,713,28171327,6635194,8000663,1738823,1656935,1087161,15687745,835010,5800184,0,1203959,1006186,20201382,12394994,0,5351924,29454597,0,20877580,13788327,0,85373,55241,574,139,72,75,44,44,339,17,122,0,53,49,375,236,0,132,581,0,379,314,0,10,10
20251,U,관광특구,3001491,이태원 관광특구,CS300020,서적,199648044,3939,100764916,98883128,29757452,12585890,13183506,16943223,28294845,54515659,44367469,0,61675,47600708,95487924,56497737,0,69643654,108267343,0,27605069,85892138,21348273,28319803,14745713,2023,1916,217,343,336,483,644,1160,756,0,7,742,1943,1247,0,1417,2438,0,817,1925,569,381,162
20251,U,관광특구,3001491,이태원 관광특구,CS100003,일식음식점,504002213,7816,292031388,211970825,33641574,44915164,59960524,65634776,87879350,143937312,68033513,98766346,2008147,40384869,13770034,162693404,186379413,243861771,212741945,2020988,133416527,167113137,81893502,59543855,12615704,4506,3310,596,688,949,932,1341,2179,1131,1359,24,1346,327,2604,2156,3490,3799,62,2528,2713,975,745,268
20251,U,관광특구,3001491,이태원 관광특구,CS200029,네일숍,27975172,875,22021117,5954055,5487900,3598361,3204177,6897346,2833333,3020722,2933333,0,0,3051948,10567135,10589423,3766666,6296607,21678565,0,166667,10519593,683060,4174158,12431694,683,192,147,128,55,254,99,92,100,0,0,125,407,277,66,153,722,0,33,289,27,98,428
20251,U,관광특구,3001491,이태원 관광특구,CS100002,중식음식점,1794122204,39372,1204701227,589420977,78228490,208456342,258716698,314512303,344787394,336733050,252687927,13153490,128933,406296551,76542603,802654853,495345774,851028482,683447978,3236781,405578119,658938573,243874009,162285378,60563599,27747,11625,2257,5788,5635,6768,7299,6885,4740,108,5,15789,2395,15614,5461,19031,16877,128,11960,13696,4670,3695,1759
20251,U,관광특구,3001491,이태원 관광특구,CS100005,제과점,1183162877,79582,693406793,489756084,124051425,104571256,137617918,171024310,156141884,274026736,215729348,50196343,106190901,241741362,345880018,338495972,100658281,478086209,627793127,5861518,329929173,354274445,195782550,142621095,77410555,47545,32037,8865,7794,9707,10013,11166,17967,14070,4538,8856,15367,19707,22806,8308,33718,43001,510,23899,25435,10598,10041,6233
